circle_x,circle_y,circle_z,figureEight_x,figureEight_y,figureEight_z,loop_x,loop_y,loop_z,swoop_x,swoop_y,swoop_z,undulate_x,undulate_y,undulate_z,uShape_x,uShape_y,uShape_z
0,-1.763850814,3.771674436,0,1.293272037,2.771302457,0,-0.06415825,1.092905817,0,-1.1248,0.614177965,0,1.46875,1.536176001,0,-1.483870968,1.027970755
0,-1.578166595,3.938914696,0,1.373004594,3.005711959,0,-0.5593891,0.760856495,0,-1.1717,0.743074642,0,1.53125,2.02,0,-1.548387097,1.308109705
0,-1.376713856,4.086781962,0,1.39999989,3.249504592,0,-1.032318873,0.457208341,0,-1.2186,0.879098055,0,1.53125,2.02,0,-1.612903226,1.625542977
0,-1.161505449,4.213798792,0,1.373221034,3.493316253,0,-1.46409335,0.188780636,0,-1.2655,1.022248205,0,1.59375,2.503823999,0,-1.677419355,1.983442263
0,-0.934691662,4.318696077,0,1.293696605,3.72778211,0,-1.837499045,-0.038398312,0,-1.3124,1.172525091,0,1.65625,2.969054912,0,-1.741935484,2.385108709
0,-0.698538745,4.400425717,0,1.164481145,3.943896302,0,-2.137649452,-0.219226553,0,-1.3593,1.329928714,0,1.71875,3.397814178,0,-1.806451613,2.833972917
0,-0.455406261,4.458171096,0,0.990537834,4.13335786,0,-2.352578521,-0.349643076,0,-1.4062,1.494459073,0,1.78125,3.773624817,0,-1.870967742,3.333594948
0,-0.207723507,4.491355243,0,0.778547854,4.288889544,0,-2.473717708,-0.426719005,0,-1.4531,1.666116168,0,1.84375,4.082044639,0,-1.935483871,3.887664318
0,0.042034751,4.499646591,0,0.536653764,4.404517365,0,-2.496237577,-0.448723382,0,-1.5,1.8449,0,1.90625,4.311221241,0,-2,4.5
0,0.291373012,4.482962297,0,0.274146743,4.475800044,0,-2.499436078,-0.448723382,0,-1.5,1.8449,0,1.96875,4.452347495,0,-2,4.5
